user_id,seed_ids,holdout_ids,seed_titles,wanted_categories,wanted_mechanics,title_recall@5,title_ndcg@5,trait_recall@5,trait_ndcg@5,combined_recall@5,combined_ndcg@5,title_recall@10,title_ndcg@10,trait_recall@10,trait_ndcg@10,combined_recall@10,combined_ndcg@10,title_recall@20,title_ndcg@20,trait_recall@20,trait_ndcg@20,combined_recall@20,combined_ndcg@20
 beastvol,"[9209, 13, 3076]","[118, 823, 278]","['Ticket to Ride', 'Catan', 'Puerto Rico']","['economic', 'city building']","['end game bonuses', 'network and route building']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 mycroft,"[15987, 278, 13]","[10547, 823, 5]","['Arkham Horror', 'Catan Card Game', 'Catan']","['adventure', 'card game']","['dice rolling', 'hand management']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-=Yod@=-,"[257707, 264295, 38949]","[210179, 822, 13]","['Unlock!: Escape Adventures – In Pursuit of Cabrakan', 'Fabulantica', 'Córdoba']","['card game', ""children's game""]","['area majority / influence', 'cooperative game']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.10858087310103355,0.0,0.0,0.0,0.0
-Johnny-,"[107829, 1354, 649]","[13886, 13223, 23957]","['Building an Elder God', 'Zaubercocktail', 'Thieves of Bagdad']","['card game', 'arabian']","['set collection', 'trading']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-Loren-,"[194577, 4799, 7860]","[1924, 36218, 163412]","['Tara Wolf in Valley of the Kings', 'Dicemaster: Cities of Doom', 'Simpsons Trading Card Game']","['card game', 'collectible components']","['hand management', 'set collection']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-LucaS-,"[7944, 11, 28143]","[12942, 8217, 21241]","['Tortuga', 'Bohnanza', 'Race for the Galaxy']","['card game', 'civilization']","['hand management', 'set collection']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1480409554829326,0.0,0.0,0.0,0.0,0.3333333333333333,0.1480409554829326
-Morphling-,"[230802, 3076, 178900]","[148228, 173346, 163412]","['Azul', 'Puerto Rico', 'Codenames']","['abstract strategy', 'card game']","['end game bonuses', 'action drafting']",0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.14126697285982898,0.0,0.0,0.3333333333333333,0.13565197343244778,1.0,0.37706170084802015,0.0,0.0,1.0,0.3825846460628926
-mIDE-,"[119500, 15020, 19409]","[20096, 25617, 18399]","['Wanna Bet?', 'Draw Out', 'Mouse Chaos']","['party game', 'abstract strategy']","['roll / spin and move', 'betting and bluffing']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-mik-,"[14996, 50, 70323]","[3076, 822, 478]","['Ticket to Ride: Europe', 'Lost Cities', 'King of Tokyo']","['card game', 'dice']","['push your luck', 'card drafting']",0.3333333333333333,0.2960819109658652,0.0,0.0,0.0,0.0,0.6666666666666666,0.4525081529734507,0.0,0.0,0.3333333333333333,0.15642624200758548,0.6666666666666666,0.4525081529734507,0.0,0.0,0.6666666666666666,0.27374592351327454
-pj-,"[822, 31260, 36218]","[37111, 478, 3955]","['Carcassonne', 'Agricola', 'Dominion']","['medieval', 'animals']","['hand management', 'advantage token']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
